epoch,time_s_unc,spacecraft,type,r_x_GSE,r_y_GSE,r_z_GSE,delay_s,ni_up,ni_dw,v_x_GSE_up,v_x_GSE_dw,v_y_GSE_up,v_y_GSE_dw,v_z_GSE_up,v_z_GSE_dw,method,Nx,Ny,Nz,v_sh,ni_up_unc,ni_dw_unc,delay_s_unc,v_x_GSE_up_unc,v_x_GSE_dw_unc,v_y_GSE_up_unc,v_y_GSE_dw_unc,v_z_GSE_up_unc,v_z_GSE_dw_unc,Nx_unc,Ny_unc,Nz_unc,v_sh_unc
1997-12-10    04:33:13.5,3,wind,FF,206.798,9.96,22.562,3124.92,10.2,25.3,-289.5,-354.1,-13.8,-5.5,-0.1,-45.9,RH08,-0.903,0.168,-0.397,391.2,0.9,2.3,294.24,1.6,1.4,1.7,2.5,4,3.1,0.015,0.032,0.374,12.4
1997-12-23    01:09:04.5,12,wind,FF,218.598,17.808,11.312,4313.16,15.1,21.5,-296.8,-304.8,-4.8,0.8,-1.6,10.1,RH09,-0.999,0.026,-0.039,322.3,0.4,0.7,49.14,0.9,0.6,0.5,1.2,0.9,1.1,0.003,0.067,0.039,3.6
1997-12-29    04:52:07.5,6,wind,SF,223.293,20.08,4.777,4320.96,6.8,9.4,-281.8,-293.9,5.8,11.8,0.4,-8.6,MX2,-0.436,-0.762,-0.479,138.6,0.2,0.3,4019.82,1.6,0.8,1.4,2.5,1.8,2.7,0.599,0.365,0.438,11.9
1997-12-30    01:13:43.5,3,wind,FF,223.812,20.3,3.838,3309.0600000000004,7.7,15.7,-320.4,-372.2,-7.9,-30.7,-21.8,-25.3,RH08,-0.979,-0.2,-0.05,423.4,0.2,1.4,63.66,1.3,1.6,2.1,3,2.5,5.3,0.004,0.018,0.05,8.1
1998-01-06    13:29:01.5,3,wind,FF,227.07,20.43,-4.564,3427.26,9.7,27.2,-306.4,-369.2,-2.7,38.4,10.1,18.2,RH08,-0.971,0.234,0.039,408.4,0.4,3.4,86.03999999999999,2.5,4,3.8,16.9,2.8,7.4,0.004,0.017,0.039,10
1998-01-24    04:37:28.5,3,wind,FF,234.2,10.589,-21.7,3380.5800000000004,9.8,21.4,-366.9,-400,8.9,8.8,-1.7,34.3,RH08,-0.91,0.236,0.341,414.2,0.4,1.2,256.08,1.2,3.7,0.8,1.3,0.6,2.6,0.009,0.019,0.327,7.2
1998-01-31    15:53:46.5,6,wind,FF,235.72,5.987,-26.95,3439.98,6.7,13.3,-360.5,-403.8,-25.4,-16.2,6.3,37.6,RH09,-0.942,0.334,0.039,418.5,0.5,1.4,181.38,3.8,7,1.3,10.2,4.8,11.7,0.023,0.064,0.039,20.2
1998-02-18    07:48:43.5,3,wind,FF,235.89,-9.801,-31.63,3265.62,17.2,25.3,-375.6,-407.7,-21.2,-33.4,-27.9,-19.7,RH08,-0.991,0.131,0.017,463.4,0.4,1.4,77.52,1.8,4.2,0.9,1.2,2.1,2.5,0,0,0.017,11
1998-02-18    07:53:01.0,65,ace,NN,0.038,0.003,0.004,,21.6,32.2,-375.3,-415.8,-25.7,-33.8,-35.7,-22.2,RH08,0,0,0,0,1.1,1.3,,0.6,3.9,1,1.7,0.7,3.5,0,0,0,0
1998-03-04    10:58:04.0,16,ace,FF,0.038,0,0.004,0.6,4.4,8.3,-351.5,-382.3,10,11.4,-21.1,-33.6,RH08,-0.981,-0.009,-0.196,420.4,0.2,0.5,0,1.2,3.7,1.4,5.2,2,1.7,0.002,0.013,0.193,1.2
1998-03-04    11:02:46.5,6,wind,FF,234.658,-17.82,-27.388,-42.66,4.7,5.5,-350.1,-392.8,8.2,11.9,-10.1,-27.4,RH08,0.03,0.171,0.985,-52.9,0.2,1.7,8558.88,0.9,4.4,1.1,7.6,5.5,9.9,0.008,0.034,303.05,2033.6
1998-04-07    16:53:34.5,3,wind,FF,225.17,-18.04,4.685,3539.3399999999997,9.3,18.3,-289.1,-324.2,-1.6,-15.5,-17,-60.2,RH08,-0.906,0.056,-0.419,368.8,0.3,1.2,439.44,0.6,3.5,2.7,3.7,1.1,3.5,0.004,0.009,0.393,4
1998-04-23    17:28:22.0,16,ace,FF,0.036,-0.006,-0.002,0.5399999999999999,11.7,41.1,-322.9,-371.6,-16,-33,8.3,16.4,RH08,-0.985,-0.13,0.117,392.6,0.7,4.1,0,2,2.5,1.5,1.6,1.7,2.4,0.002,0.009,0.117,5.3
1998-04-23    17:29:01.5,3,wind,FF,220.17,-6.166,20.384,3364.62,14.3,33.8,-326.8,-370.4,-13.8,-30.1,-3,-1.8,RH08,-0.985,-0.165,0.05,401.7,0.8,3.2,83.64,1.1,3.1,1.2,2.2,0.8,2.6,0.002,0.009,0.05,9.8
1998-04-30    08:43:07.5,12,wind,FF,216.92,2.056,25.04,2586.36,11.6,34.5,-317,-364.8,-6.9,-57,-15.7,17.3,RH08,-0.69,-0.613,0.385,331.2,0.6,1.9,404.40000000000003,2.5,2.7,2.2,2.4,2.4,4.7,0.011,0.012,0.365,6.3
1998-04-30    08:43:33.0,16,ace,FF,0.036,-0.005,-0.002,0.5399999999999999,9,50.5,-306.6,-360.6,-22.9,-50.7,-3.7,33.5,RH08,-0.939,-0.192,0.285,373.1,0.7,2.4,0.06,2.2,3.3,3.8,2.7,2.6,4.9,0.006,0.013,0.277,4.4
